Number of Crimes by Hour of Day by Location Type,,,,,,,,
Measures: Number of Crimes,,,,,,,,
"Data source: Virginia_SS, Offense Data",,,,,,,,
Incident Date: 2018,,,,,,,,
Jurisdiction by Geography: Virginia,,,,,,,,
Offense Type: All Offense Types,,,,,,,,
Incident Hour of Day,6:00pm-8:59pm,9:00pm-11:59pm,12:00am-2:59am,3:00am-5:59am,6:00am-8:59am,9:00am-11:59am,12:00n-2:59pm,3:00pm-5:59pm
Location Type,,,,,,,,
All Location Types,"70,933","64,613","56,927","17,750","32,020","49,497","66,164","71,537"
Residence/Home,"29,364","27,890","24,999","8,316","15,427","20,445","25,183","26,414"
Commercial,"16,243","9,324","10,182","3,315","5,970","11,536","18,360","19,727"
Air/Bus/Train Terminal,235,130,111,136,344,276,304,427
Bank/Savings and Loan,176,79,506,54,384,754,947,620
Bar/Nightclub,208,560,"1,009",63,23,53,63,80
Commercial/Office Building,846,499,"1,005",221,748,"1,039","1,298","1,325"
Convenience Store,"1,915","1,700","1,741",799,807,"1,331","1,726","1,924"
Department/Discount Store,"4,454","1,224",970,384,872,"2,531","5,464","6,082"
Drug Store/Doctor’s Office/Hospital,681,426,415,181,374,640,775,722
Grocery/Supermarket,"1,327",581,442,148,401,910,"1,534","1,848"
Hotel/Motel/Etc.,"1,193","1,605","1,346",522,620,974,948,998
Liquor Store,749,39,51,17,21,236,535,688
Rental Storage Facility,153,78,137,27,99,129,194,233
Restaurant,"1,501","1,193",986,254,379,684,"1,188","1,331"
Service/Gas Station,673,587,583,228,416,503,679,695
Specialty Store,997,279,529,199,313,"1,001","1,690","1,585"
ATM Separate from Bank,17,8,40,6,18,31,36,36
Auto Dealership New/Used,125,81,180,45,96,164,213,115
Gambling Facility/Casino/Race Track,3,13,8,2,1,4,3,6
Shopping Mall,990,242,123,29,54,276,763,"1,012"
Educational Facility,883,724,901,174,"2,092","3,734","4,489","2,145"
School/College(Historical Only),3,7,10,3,21,22,35,15
Daycare Facility,32,5,17,1,30,38,39,56
School – College/University,423,471,388,77,283,501,693,627
School – Elementary/Secondary,425,241,486,93,"1,758","3,173","3,722","1,447"
Government/Public Building and other,"1,631","1,163","1,230",293,682,"1,425","1,676","1,797"
Church/Synagogue/Temple/Mosque,291,158,157,35,125,226,307,254
Government/Public Building,422,222,653,90,308,693,741,665
Jail/Prison/Penitentiary/Corrections Facility,198,186,183,104,115,223,187,191
Amusement Park,84,53,10,2,6,25,53,67
Arena/Stadium/Fairgrounds/Coliseum,60,67,13,6,6,20,33,52
Military Installation,3,1,1,,8,6,4,7
Park/Playground,503,415,195,47,84,202,331,520
Shelter – Mission/Homeless,63,58,14,8,28,28,16,39
Tribal Lands,6,3,2,1,1,2,1,2
Community Center,1,,2,,1,,3,
Road/Parking/Camps,"21,015","24,396","17,327","5,151","6,500","10,269","13,732","18,776"
Highway/Road/Alley/Street/Sidewalk,"12,512","16,008","11,719","3,274","3,405","5,920","7,967","10,961"
Parking/Drop Lot/Garage,"8,009","8,049","5,289","1,789","2,790","3,921","5,186","7,104"
Rest Area,6,15,5,6,7,2,22,7
Field/Woods/Waterways/Camps,488,324,314,82,298,426,557,704
Field/Woods,365,232,230,58,195,316,417,542
Lake/Waterway/Beach,66,37,37,11,28,44,77,97
Camp/Campground,40,46,30,9,14,31,41,42
Dock/Wharf/Freight/Modal Terminal,17,9,17,4,61,35,22,23
Construction/Industrial/Farm,274,97,157,49,234,283,337,600
Construction Site,202,52,95,35,164,179,221,477
Farm Facility,33,23,17,5,25,49,35,36
Industrial Site,39,22,45,9,45,55,81,87
Cyberspace,2,2,44,,24,6,16,3
Abandoned/Condemned Structure,23,16,19,1,13,22,21,37
Other/Unknown,"1,498","1,001","2,068",451,"1,078","1,777","2,350","2,038"
Missing,,,,,,,,
