Number of Crimes by Hour of Day by Location Type,,,,,,,,
Measures: Number of Crimes,,,,,,,,
"Data source: Virginia_SS, Offense Data",,,,,,,,
Incident Date: 2019,,,,,,,,
Jurisdiction by Geography: Virginia,,,,,,,,
Offense Type: All Offense Types,,,,,,,,
Incident Hour of Day,6:00pm-8:59pm,9:00pm-11:59pm,12:00am-2:59am,3:00am-5:59am,6:00am-8:59am,9:00am-11:59am,12:00n-2:59pm,3:00pm-5:59pm
Location Type,,,,,,,,
All Location Types,"68,414","62,152","55,187","17,987","31,260","48,490","65,345","70,252"
Residence/Home,"27,749","25,994","23,459","8,262","14,534","19,177","23,801","25,306"
Commercial,"16,066","9,753","9,968","3,288","5,581","11,537","18,411","20,265"
Air/Bus/Train Terminal,199,128,75,130,262,255,234,376
Bank/Savings and Loan,166,79,677,46,311,684,940,639
Bar/Nightclub,174,567,874,46,15,50,47,54
Commercial/Office Building,741,465,823,228,726,"1,035","1,247","1,331"
Convenience Store,"1,922","1,756","1,681",811,820,"1,272","1,598","1,805"
Department/Discount Store,"4,324","1,348",945,340,785,"2,443","5,412","6,299"
Drug Store/Doctor’s Office/Hospital,628,400,444,177,432,703,827,864
Grocery/Supermarket,"1,378",631,398,119,354,982,"1,768","1,940"
Hotel/Motel/Etc.,"1,178","1,575","1,390",563,608,965,"1,000","1,065"
Liquor Store,756,45,32,12,14,273,575,681
Rental Storage Facility,127,107,171,16,121,144,220,173
Restaurant,"1,525","1,332","1,003",293,322,703,"1,131","1,265"
Service/Gas Station,676,651,602,249,320,529,704,705
Specialty Store,"1,024",286,513,174,334,"1,010","1,574","1,600"
ATM Separate from Bank,17,7,41,3,19,30,39,28
Auto Dealership New/Used,155,99,184,54,92,151,215,212
Gambling Facility/Casino/Race Track,13,14,12,3,1,6,12,7
Shopping Mall,"1,063",263,103,24,45,302,868,"1,221"
Educational Facility,921,679,906,201,"2,353","4,156","4,852","2,142"
School/College(Historical Only),28,9,11,8,49,83,118,35
Daycare Facility,32,6,22,5,49,41,32,59
School – College/University,415,449,409,63,245,488,641,554
School – Elementary/Secondary,446,215,464,125,"2,010","3,544","4,061","1,494"
Government/Public Building and other,"1,489","1,086","1,329",306,698,"1,426","1,709","1,839"
Church/Synagogue/Temple/Mosque,220,140,181,51,112,257,291,230
Government/Public Building,340,211,666,66,304,640,728,681
Jail/Prison/Penitentiary/Corrections Facility,173,164,222,129,109,238,216,175
Amusement Park,100,64,9,1,5,24,41,84
Arena/Stadium/Fairgrounds/Coliseum,56,42,16,4,5,17,34,52
Military Installation,3,1,1,,5,1,7,10
Park/Playground,503,396,195,38,110,194,328,506
Shelter – Mission/Homeless,36,42,15,13,30,32,31,35
Tribal Lands,1,3,2,,,,,1
Community Center,57,23,22,4,18,23,33,65
Road/Parking/Camps,"20,385","23,521","17,065","5,420","6,648","10,076","13,695","18,115"
Highway/Road/Alley/Street/Sidewalk,"11,656","15,310","11,647","3,526","3,500","5,800","8,039","10,524"
Parking/Drop Lot/Garage,"8,205","7,807","5,077","1,801","2,850","3,840","5,085","6,908"
Rest Area,4,10,14,3,6,3,10,10
Field/Woods/Waterways/Camps,520,394,327,90,292,433,561,673
Field/Woods,367,274,229,64,182,324,415,520
Lake/Waterway/Beach,95,45,36,12,33,51,77,87
Camp/Campground,49,60,44,6,21,31,49,46
Dock/Wharf/Freight/Modal Terminal,9,15,18,8,56,27,20,20
Construction/Industrial/Farm,252,87,168,71,275,238,297,522
Construction Site,179,41,102,41,199,152,201,395
Farm Facility,40,19,24,15,25,33,34,43
Industrial Site,33,27,42,15,51,53,62,84
Cyberspace,129,66,462,45,226,256,368,195
Abandoned/Condemned Structure,20,8,17,5,8,17,20,26
Other/Unknown,"1,403",958,"1,813",389,937,"1,607","2,192","1,842"
Missing,,,,,,,,
